Top queries,Clicks,Impressions,CTR,Position
bar magazine,24,471,5.1%,6.93
barmagazine,15,33,45.45%,1.39
oscar cremasco,14,146,9.59%,5.45
russell davis bar rescue,6,228,2.63%,4.38
segreto athens,5,107,4.67%,6.11
russell davis bartender,5,76,6.58%,3.5
best bars in mumbai,5,51,9.8%,10.16
moe aljaff,4,72,5.56%,5.85
bar world 100,4,22,18.18%,1.77
bar world 100 2026,4,9,44.44%,1.89
imbibe book,3,250,1.2%,6.61
russell davis mixologist,3,48,6.25%,4.69
ralph's bar chengdu,3,42,7.14%,8.6
best bars in singapore,3,33,9.09%,30.76
best bars sao paulo,3,15,20%,10.27
best cocktail bars boston,3,14,21.43%,5.21
silver lyan menu,2,284,0.7%,8.04
beogradski koktel klub,2,147,1.36%,5.84
hats bar jakarta,2,60,3.33%,8.72
victory bar copenhagen,2,33,6.06%,10
paal shanghai,2,25,8%,6.48
takuma watanabe,2,23,8.7%,7.35
margarita mile,2,23,8.7%,9.13
takuma watanabe bartender,2,22,9.09%,6.64
lounge bohemia london,2,19,10.53%,10.16
top 10 bars in london,2,16,12.5%,14
oscar cremasco cambalache,2,12,16.67%,5.25
alenka cocktail bar prague,2,10,20%,22.7
yael stormborn,2,8,25%,2
himkok cocktail menu,2,6,33.33%,4.67
best bars in lima,2,4,50%,4.25
nikos bakoulis,2,4,50%,12.5
bar benjamin,1,686,0.15%,9.2
1986 steakhouse reviews,1,482,0.21%,10.32
strings bar split,1,149,0.67%,8.11
tres monos buenos aires,1,148,0.68%,8.17
bar sistema,1,113,0.88%,10.37
best bars stockholm,1,95,1.05%,31.8
moonshine dubai,1,92,1.09%,11.24
room 207 reviews,1,75,1.33%,8.91
bijou drinkery room,1,70,1.43%,10.29
kissk,1,64,1.56%,11.47
himkok menu,1,58,1.72%,7.69
amma don,1,58,1.72%,8.5
bar mag,1,48,2.08%,8.94
room 207 nyc,1,42,2.38%,9.05
bar mate helsinki,1,38,2.63%,6.66
bar rescue russell davis,1,36,2.78%,7.61
best bar in singapore,1,36,2.78%,35.61
kultura bar,1,31,3.23%,7.9
hero bar nairobi,1,28,3.57%,9.82
isabel speakeasy,1,27,3.7%,9.48
the cocktail balance 2.0,1,26,3.85%,7.27
bees bar by narisawa,1,25,4%,6.4
nana sechere,1,25,4%,6.8
ralphs bar chengdu,1,25,4%,9.16
el koktel warsaw,1,22,4.55%,9.91
mysterium cocktail bar,1,21,4.76%,9.62
dragonfly hong kong,1,21,4.76%,16.67
knock on wood setiabudi,1,19,5.26%,3.84
bar long fong beijing,1,19,5.26%,7.74
best bars in berlin,1,16,6.25%,17.44
best bars in tokyo,1,16,6.25%,35.25
real charmer,1,15,6.67%,7.87
best bars in stockholm,1,15,6.67%,13.53
the pontiac hong kong,1,14,7.14%,9.43
farmacia boston menu,1,14,7.14%,9.64
the doctor's office seattle,1,14,7.14%,12.79
hyper drinks book,1,13,7.69%,8.46
bubbles libro,1,13,7.69%,8.92
singapore best bars 2026,1,12,8.33%,8.58
stella martindale,1,12,8.33%,8.58
yael vengroff,1,11,9.09%,7.27
chimney bar hangzhou,1,11,9.09%,10
best bars in vegas,1,11,9.09%,35.18
ananasa tri,1,10,10%,5.3
aapex seoul,1,10,10%,6.9
wu bar taipei,1,10,10%,6.9
bubbles a guide to carbonated cocktails,1,10,10%,8.6
best bars jakarta,1,10,10%,12
bartender magazine,1,10,10%,29.8
strange water founder,1,9,11.11%,7.67
slice of life bar,1,9,11.11%,12.22
best bars in florence italy,1,9,11.11%,14.11
stan vadrna,1,8,12.5%,4.5
50 best bars singapore,1,8,12.5%,8.5
last call bar bkk,1,8,12.5%,8.75
best bars mumbai,1,8,12.5%,10.88
classic american cocktails,1,8,12.5%,18.12
best bar stockholm,1,8,12.5%,20.5
new bars singapore 2026,1,7,14.29%,10.14
best bars in paris,1,7,14.29%,24.29
the loft chile,1,6,16.67%,6.67
bar maritime,1,6,16.67%,8.17
lab bar taipei,1,6,16.67%,8.5
top 50 bars mexico city,1,6,16.67%,10
best bar in shanghai,1,6,16.67%,12.83
le hibou stockholm,1,6,16.67%,17.17
best hotel bars singapore,1,5,20%,4.6
best bars in los angeles 2026,1,5,20%,5.4
hotel bars,1,5,20%,5.4
cilim bar,1,5,20%,6.2
bar magazin,1,5,20%,7.8
best cocktail bars miami,1,5,20%,8
cocktail bar vancouver,1,5,20%,8.8
bars sao paulo,1,5,20%,10.6
dubai cocktail bars,1,5,20%,13.6
best bar in paris,1,5,20%,20.2
best bars rome,1,5,20%,33.6
best bars budapest,1,5,20%,37.2
quito cocktail week,1,4,25%,5.75
speakeasy bars toronto,1,4,25%,6.5
speakeasies in montreal,1,4,25%,8
3 monos buenos aires,1,4,25%,8.5
hero bar kenya,1,4,25%,9.5
old house kathmandu,1,4,25%,10.25
best bars list,1,4,25%,10.5
giacosa florence,1,4,25%,17.5
bartender choice awards,1,4,25%,24.75
green zone dc,1,4,25%,26.75
hotel bars singapore,1,3,33.33%,3.67
room 207 bar,1,3,33.33%,7.67
boston best cocktail bars,1,3,33.33%,9.67
catbird dallas,1,3,33.33%,10.67
off the record bar washington dc,1,3,33.33%,12.67
