Top pages,Clicks,Impressions,CTR,Position
https://barmagazine.com/,16,337,4.75%,14.46
https://barmagazine.com/bar-world-100-2026-full-list-of-global-influencers,16,321,4.98%,6.13
https://barmagazine.com/takuma-watanabe-martinys-altos-bartenders-bartender-2026,11,178,6.18%,6.35
https://barmagazine.com/best-bars/copenhagen,10,154,6.49%,14.92
https://barmagazine.com/best-bars/singapore,9,243,3.7%,13.77
https://barmagazine.com/best-bars/boston/cocktail-bars,9,147,6.12%,15.37
https://barmagazine.com/best-bars/stockholm,8,199,4.02%,17.25
https://barmagazine.com/best-bars/mumbai,6,227,2.64%,11.26
https://barmagazine.com/best-bars/singapore/hotel-bars,6,60,10%,14.77
https://barmagazine.com/wishka-russell-davis-returns-to-his-origins,5,212,2.36%,6.94
https://barmagazine.com/best-bars/ho-chi-minh-city,5,58,8.62%,11.02
https://barmagazine.com/bar-world-100-2025-full-list-of-global-influencers,4,134,2.99%,7.72
https://barmagazine.com/best-bars/buenos-aires,4,99,4.04%,7.63
https://barmagazine.com/bubbles-a-guide-to-carbonated-cocktails,4,92,4.35%,8.96
https://barmagazine.com/best-bars/miami/cocktail-bars,4,43,9.3%,8.16
https://barmagazine.com/best-bars/chicago/cocktail-bars,4,39,10.26%,11.62
https://barmagazine.com/best-bars/lima,4,26,15.38%,6.5
https://barmagazine.com/negroni-week-2026-asia-pacific-guest-shifts,3,377,0.8%,8.13
https://barmagazine.com/best-bars/boston/speakeasies,3,182,1.65%,13.97
https://barmagazine.com/1986-steak-house-miami-coconut-grove-tres-monos,3,178,1.69%,8.25
https://barmagazine.com/best-bars/vancouver/cocktail-bars,3,150,2%,14.35
https://barmagazine.com/best-bars/prague,3,139,2.16%,15.14
https://barmagazine.com/best-bars/seoul/cocktail-bars,3,109,2.75%,7.88
https://barmagazine.com/bars/ralph-s-bar,3,104,2.88%,8.31
https://barmagazine.com/best-bars/mexico-city,3,89,3.37%,7.39
https://barmagazine.com/best-bars/berlin,3,87,3.45%,20.02
https://barmagazine.com/best-bars/zurich,3,79,3.8%,11.53
https://barmagazine.com/top-10-bars-in-los-angeles-2026,3,72,4.17%,6.78
https://barmagazine.com/best-bars/london,3,66,4.55%,38.7
https://barmagazine.com/best-bars/rio-de-janeiro,3,64,4.69%,8.59
https://barmagazine.com/moe-aljaff,3,60,5%,5.98
https://barmagazine.com/best-bars/sao-paulo,3,59,5.08%,6.27
https://barmagazine.com/best-bars/los-angeles/cocktail-bars,3,35,8.57%,13.63
https://barmagazine.com/bars/paper-fan-seattle,3,31,9.68%,6.23
https://barmagazine.com/bars/city/sao-paulo,3,26,11.54%,11.58
https://barmagazine.com/stan-vadrna-on-what-it-really-means-to-be-hospitable,3,21,14.29%,3.86
https://barmagazine.com/bars/nightmoves,2,171,1.17%,11.26
https://barmagazine.com/best-bars/rome,2,141,1.42%,19.83
https://barmagazine.com/best-bars/hong-kong,2,127,1.57%,13.2
https://barmagazine.com/best-bars/bangkok/hotel-bars,2,111,1.8%,19.02
https://barmagazine.com/best-bars/washington-dc,2,104,1.92%,16.71
https://barmagazine.com/silver-lyan-folklore-menu,2,103,1.94%,8.49
https://barmagazine.com/paradiso-barcelona-oltre-cocktail-menu,2,100,2%,6.71
https://barmagazine.com/your-bartender-zodiac-sign-and-how-it-works-behind-the-bar,2,97,2.06%,5.61
https://barmagazine.com/best-bars/mumbai/cocktail-bars,2,97,2.06%,12.28
https://barmagazine.com/best-bars/las-vegas/cocktail-bars,2,90,2.22%,24.17
https://barmagazine.com/room-207-is-new-yorks-next-cocktail-tourism-destination,2,89,2.25%,8.78
https://barmagazine.com/best-bars/kuala-lumpur/cocktail-bars,2,68,2.94%,13.34
https://barmagazine.com/bars/isabel-speakeasy,2,64,3.12%,8.39
https://barmagazine.com/best-bars/denver/cocktail-bars,2,63,3.17%,22.48
https://barmagazine.com/best-bars/jakarta,2,62,3.23%,7.23
https://barmagazine.com/best-bars/toronto/speakeasies,2,61,3.28%,8.15
https://barmagazine.com/best-bars/denver,2,56,3.57%,27.36
https://barmagazine.com/best-bars/tokyo,2,55,3.64%,9.18
https://barmagazine.com/best-bars/dublin,2,55,3.64%,27.16
https://barmagazine.com/best-bars/florence,2,53,3.77%,9.19
https://barmagazine.com/best-bars/kuala-lumpur,2,51,3.92%,12.53
https://barmagazine.com/bars/lounge-bohemia,2,46,4.35%,9.96
https://barmagazine.com/best-bars/new-york,2,45,4.44%,11.02
https://barmagazine.com/best-bars/miami,2,44,4.55%,16.16
https://barmagazine.com/bars/paal,2,42,4.76%,5.48
https://barmagazine.com/mr-boston-de-luxe-official-bartenders-guide,2,42,4.76%,9.69
https://barmagazine.com/best-bars/barcelona,2,40,5%,10.47
