slug	name	country	city	email	kind	reason	source	url
backroom-bar	Backroom Bar	Argentina	Buenos Aires	rrhh@backroom-bar.com	venue	the venue's own domain	form-config	https://backroom-bar.com/
byrdi	Byrdi	Australia	Melbourne	luke@byrdi.com.au	venue	the venue's own domain	form-config	https://byrdi.com.au/
bar-planet	Bar Planet	Australia	Sydney	more@muchogroup.com.au	venue	the venue's own domain	json-ld	https://barplanet.com.au/
bar-planet	Bar Planet	Australia	Sydney	more@barplanet.com.au	venue	the venue's own domain	json-ld	https://barplanet.com.au/
bar-americano	Bar Americano	Australia	Melbourne	matt@trinktank.com	offsite	off-domain (trinktank.com)	json-ld	https://www.baramericano.com/
deadwax	Deadwax	Australia	Sydney	enquiries@deadwaxbar.com.au	venue	the venue's own domain	form-config	https://deadwaxbar.com.au/
dean-nancy-on-22	Dean & Nancy on 22	Australia	Sydney	cocktails@deanandnancyon22.com.au	venue	the venue's own domain	form-config	https://deanandnancyon22.com.au/
maybe-sammy	Maybe Sammy	Australia	Sydney	cocktails@maybesammy.com	venue	the venue's own domain	json-ld	https://maybesammy.com/
old-love-s	Old Love's	Australia	Sydney	seeyou@oldloves.sydney	venue	the venue's own domain	json-ld	https://www.oldloves.sydney/
eau-de-vie	Eau de Vie	Australia	Melbourne	sydney@thesanderson.com.au	venue	the venue's own domain	cloudflare-obfuscated	https://eaudevie.com.au/melbourne/
eau-de-vie	Eau de Vie	Australia	Melbourne	melbourne@eaudevie.com.au	venue	the venue's own domain	cloudflare-obfuscated	https://eaudevie.com.au/melbourne/
the-waratah	The Waratah	Australia	Sydney	gday@thewaratahsydney.com	venue	the venue's own domain	form-config	https://thewaratahsydney.com/
pleasure-club	Pleasure Club	Australia	Sydney	pleasureclubbar@oddculture.group	offsite	off-domain (oddculture.group)	page-text	https://alwaysapleasure.club/
ernst-fuchs-bar-graz	Ernst Fuchs Bar	Austria	Graz	reception@erzherzog-johann.com	venue	the venue's own domain	form-config	https://www.erzherzog-johann.com/ernst-fuchs-bar/
el-primo-sanchez	El Primo Sanchez	Australia	Sydney	hello@elprimosanchez.com	offsite	off-domain (elprimosanchez.com)	json-ld	https://elprimosanchezsydney.com/
bar-pani-vienna	Bar Pani	Austria	Vienna	bar@barpani.com	venue	the venue's own domain	form-config	https://www.barpani.com/
bar-pani-vienna	Bar Pani	Austria	Vienna	605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com	offsite	off-domain (sentry-next.wixpress.com)	page-text	https://www.barpani.com/
deux-freres	Deux Frères	Australia	Sydney	605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com	offsite	off-domain (sentry-next.wixpress.com)	page-text	https://deuxfreres.com.au/
deux-freres	Deux Frères	Australia	Sydney	e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com	offsite	off-domain (sentry-next.wixpress.com)	page-text	https://deuxfreres.com.au/
burdock-salzburg	Burdock	Austria	Salzburg	office@burdock.at	venue	the venue's own domain	form-config	https://www.burdock.at/
the-sign-lounge-vienna	The Sign Lounge	Austria	Vienna	office@thesignlounge.at	venue	the venue's own domain	form-config	https://www.thesignlounge.at/
the-sign-lounge-vienna	The Sign Lounge	Austria	Vienna	605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com	offsite	off-domain (sentry-next.wixpress.com)	page-text	https://www.thesignlounge.at/
the-sign-lounge-vienna	The Sign Lounge	Austria	Vienna	18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com	offsite	off-domain (sentry-next.wixpress.com)	page-text	https://www.thesignlounge.at/
tigra-disco-pantera	Tigra + Disco Pantera	Australia	Sydney	605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com	offsite	off-domain (sentry-next.wixpress.com)	page-text	https://bartigra.com.au/
the-chapel-vienna	The Chapel	Austria	Vienna	speakeasy@thechapel.at	venue	the venue's own domain	json-ld	https://www.thechapel.at/
the-chapel-vienna	The Chapel	Austria	Vienna	dpo-google@google.com	offsite	off-domain (google.com)	json-ld	https://www.thechapel.at/
the-chapel-vienna	The Chapel	Austria	Vienna	support@trustindex.io	offsite	off-domain (trustindex.io)	json-ld	https://www.thechapel.at/
englhof-cocktailbar-zell-am-ziller	Englhof Cocktailbar	Austria	Zell am Ziller	info@englhof.at	venue	the venue's own domain	json-ld	https://www.englhof.at/
the-baxter-inn	The Baxter Inn	Australia	Sydney	events@swillhouse.com	venue	the venue's own domain	form-config	https://swillhouse.com/privacy-policy
dino-s-apothecary-bar-vienna	Dino's Apothecary Bar	Austria	Vienna	info@dinos.at	venue	the venue's own domain	form-config	https://www.dinos.at/
el-baron-cafe	El Baron Cafe	Colombia	Cartagena	cafe@elbaron.co	venue	the venue's own domain	json-ld	https://elbaron.co/
el-baron-cafe	El Baron Cafe	Colombia	Cartagena	usuario@dominio.com	offsite	off-domain (dominio.com)	page-text	https://elbaron.co/
la-sala-de-laura	La Sala de Laura	Colombia	Bogotá	reservas@restauranteleo.com	offsite	off-domain (restauranteleo.com)	page-text	https://lasaladelaura.com/
sky-leme-rooftop-lounge	Sky Leme	Brazil	Rio de Janeiro	hb205-re@accor.com	group	accor group or hotel inbox	json-ld	https://all.accor.com/hotel/B205/index.en.shtml
sky-leme-rooftop-lounge	Sky Leme	Brazil	Rio de Janeiro	assistance.reservation@accor.com	group	accor group or hotel inbox	page-text	https://all.accor.com/web-accessibility/index.en.shtml
