slug	name	country	city	email	kind	reason	source	url
bar-bello	Bar Bello	Canada	Montreal	ciao@barbellomtl.com	venue	the venue's own domain	json-ld	https://www.barbellomtl.com/
atwater-cocktail-club	Atwater Cocktail Club	Canada	Montreal	info@atwatercocktailclub.com	venue	the venue's own domain	json-ld	https://www.atwatercocktailclub.com/
atwater-cocktail-club	Atwater Cocktail Club	Canada	Montreal	groupes@barroco.ca	offsite	off-domain (barroco.ca)	form-config	https://www.atwatercocktailclub.com/
bar-bisou-bisou	Bar Bisou Bisou	Canada	Montreal	info@barbisoubisou.com	venue	the venue's own domain	form-config	https://www.barbisoubisou.com/
bar-mordecai	Bar Mordecai	Canada	Toronto	hello@barmordecai.com	venue	the venue's own domain	page-text	https://www.barmordecai.com/
bar-banane	Bar Banane	Canada	Toronto	info@barbanane.ca	venue	the venue's own domain	json-ld	https://www.barbanane.ca/
bar-maaya-toronto	Bar Maaya	Canada	Toronto	gmsmentertainmentoffice@gmail.com	venue	free mailbox published on the venue's own site	form-config	https://barmaaya.com/
milky-way-cocktail-bar	Milky Way Cocktail Bar	Canada	Montreal	info@milkywaycocktails.com	venue	the venue's own domain	page-text	https://milkywaycocktails.com/
the-cloakroom	The Cloakroom	Canada	Montreal	info@cloakroombarmtl.com	venue	the venue's own domain	json-ld	https://cloakroombarmtl.com/
the-coldroom	The Coldroom	Canada	Montreal	info@thecoldroommtl.com	venue	the venue's own domain	json-ld	https://thecoldroommtl.com/
civil-liberties	Civil Liberties	Canada	Toronto	605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com	offsite	off-domain (sentry-next.wixpress.com)	page-text	https://www.civillibertiesbar.com/
barchef	BarChef	Canada	Toronto	info@barchef.com	venue	the venue's own domain	json-ld	https://barchef.com/contact
suite-115	Suite 115	Canada	Toronto	contact@suite115.ca	venue	the venue's own domain	page-text	https://www.suite115.ca/
no-vacancy	No Vacancy	Canada	Toronto	%20events@goodnightcocktailclub.com	offsite	off-domain (goodnightcocktailclub.com)	form-config	https://www.novacancybar.ca/about
no-vacancy	No Vacancy	Canada	Toronto	info.nv@novacancyto.ca	offsite	off-domain (novacancyto.ca)	page-text	https://www.novacancybar.ca/contact
bartholomew	Bartholomew	Canada	Vancouver	info@bartholomewbar.com	venue	the venue's own domain	form-config	https://bartholomewbar.com/
key-party	Key Party	Canada	Vancouver	info@narrowgroup.ca	venue	the venue's own domain	form-config	https://narrowgroup.ca/project/key-party/
mount-pleasant-vintage-provisions	Mount Pleasant Vintage & Provisions	Canada	Vancouver	findus@mtpleasant.bar	venue	the venue's own domain	json-ld	https://www.mtpleasant.bar/yvr/home
